date,excellent,fair,good,link,product_id,product_name,rating,reviews
27_Oct_22,78.39,65.87,75.69,https://www.backmarket.co.uk/en-gb/p/iphone-se-16-gb-space-gray-unlocked/66a00af2-210d-4cb2-a581-0018c7c890bf,iPhone SE 16 GB - Space Gray - Unlocked,iPhone SE,3.9/5,(158 reviews)
27_Oct_22,575.20,517.00,531.21,https://www.backmarket.co.uk/en-gb/p/iphone-12-pro-256-gb-pacific-blue-unlocked/65b9f551-e429-483d-89ec-b66a453138be,iPhone 12 Pro 256 GB - Pacific Blue - Unlocked,iPhone 12 Pro,4.3/5,(212 reviews)
27_Oct_22,291.55,210.34,286.00,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-productred-unlocked/a34538f4-69bd-4ed8-9c1c-91c140d14445,iPhone XR 128 GB - (Product)Red - Unlocked,iPhone XR,4.5/5,(727 reviews)
27_Oct_22,636.82,529.41,604.64,https://www.backmarket.co.uk/en-gb/p/iphone-13-128-gb-pink-unlocked/d1989098-648d-490e-a719-7c4b6ab8b1ae,iPhone 13 128 GB - Pink - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,620.37,518.05,570.88,https://www.backmarket.co.uk/en-gb/p/iphone-13-128-gb-blue-unlocked/e4d4b68e-9dec-438d-be52-d348924bfe62,iPhone 13 128 GB - Blue - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,621.46,532.22,585.98,https://www.backmarket.co.uk/en-gb/p/iphone-13-128-gb-unlocked/ef5660d2-6883-4b81-b47d-86e5720687ef,iPhone 13 128 GB - Midnight - Unlocked,iPhone 13,4.6/5,(117 reviews)
27_Oct_22,217.27,188.86,209.00,https://www.backmarket.co.uk/en-gb/p/iphone-se-2020-256-gb-black-unlocked/f00b7433-3de7-4f86-a383-883511042a57,iPhone SE (2020) 256 GB - Black - Unlocked,iPhone SE (2020),4.4/5,(919 reviews)
27_Oct_22,449.36,419.24,419.14,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-256-gb-midnight-green-unlocked/79c35cbd-7839-4842-a647-2fc75213434e,iPhone 11 Pro Max 256 GB - Midnight Green - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,466.07,385.74,429.46,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-256-gb-space-gray-unlocked/5fea5fbe-bee0-4f98-8d71-72e1facd43a3,iPhone 11 Pro Max 256 GB - Space Gray - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,374.00,334.00,354.00,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-midnight-green-unlocked/a998bc4e-a6ae-49ad-bfe0-298b68630d06,iPhone 11 Pro 256 GB - Midnight Green - Unlocked,iPhone 11 Pro,4.1/5,(394 reviews)
27_Oct_22,397.63,351.69,386.97,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-midnight-green-unlocked/b62ace87-ab2c-4421-9403-84771de245a5,iPhone 11 Pro Max 64 GB - Midnight Green - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,393.88,325.73,379.21,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-space-gray-unlocked/57a443a0-5117-4d98-9147-19161f6e99c3,iPhone 11 Pro Max 64 GB - Space Gray - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,398.99,364.60,384.99,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-max-64-gb-gold-unlocked/e950ab8a-c1b4-4174-807d-98a9db6e2a6c,iPhone 11 Pro Max 64 GB - Gold - Unlocked,iPhone 11 Pro Max,4.2/5,(317 reviews)
27_Oct_22,374.00,334.00,354.00,https://www.backmarket.co.uk/en-gb/p/iphone-11-pro-256-gb-space-gray-unlocked/934ce03d-d77d-4ec3-9316-ba84614ad715,iPhone 11 Pro 256 GB - Space Gray - Unlocked,iPhone 11 Pro,4.1/5,(394 reviews)
27_Oct_22,274.62,197.52,248.36,https://www.backmarket.co.uk/en-gb/p/iphone-xr-128-gb-black-unlocked/2963532c-c4a6-4482-bba5-11594510123d,iPhone XR 128 GB - Black - Unlocked,iPhone XR,4.5/5,(727 reviews)
