date,excellent,fair,good,link,product_id,product_name,provider,rating,reviews
31_Oct_22,Sold out,"1,499.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-1000-gb-silver-unlocked/2b172839-ecc5-43b7-b52e-f01aded97ddc,iPhone 13 Pro Max 1000 GB - Silver - Unlocked,iPhone 13 Pro Max,Stock Must Go Ltd,4.6,121
31_Oct_22,"1,055.00",Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/gb/36ab3a80-b311-4b24-9c95-6570d2d5d3a6,iPhone 14 Plus 256 GB - Starlight - Unlocked,iPhone 14 Plus,(NI) Britain Tech Ltd,N/A,N/A
31_Oct_22,974.00,917.50,944.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-sierra-blue-unlocked/1080f60b-6d16-4280-83a1-2f920327043f,iPhone 13 Pro 1000 GB - Sierra Blue - Unlocked,iPhone 13 Pro,Loop Mobile,4.5,136
31_Oct_22,974.00,827.66,944.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-graphite-unlocked/cfd58ffc-b2b6-4079-a216-f075cd26918f,iPhone 13 Pro 1000 GB - Graphite - Unlocked,iPhone 13 Pro,Stock Must Go Ltd,4.5,136
31_Oct_22,"1,001.72",929.99,"1,140.00",https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/5f34ddae-a1a4-4daa-8eca-4dfe5d596b68,iPhone 13 Pro Max 512 GB - Graphite - Unlocked,iPhone 13 Pro Max,Phones Direct UK,4.6,121
31_Oct_22,949.99,Sold out,Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-512-gb-sierra-blue-unlocked/36fe3f9e-1731-4354-aaf1-c7440b7e396f,iPhone 13 Pro 512 GB - Alpine Green - Unlocked,iPhone 13 Pro,Mazuma,4.5,136
31_Oct_22,"1,193.50",Sold out,"1,259.00",https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-graphite-unlocked/4e29c42d-727c-4beb-a425-be0187a211e9,iPhone 13 Pro Max 512 GB - Alpine Green - Unlocked,iPhone 13 Pro Max,Mazuma,4.6,121
31_Oct_22,940.57,924.00,944.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-1000-gb-gold-unlocked/54a9246d-4935-429f-91cb-ac31531c9960,iPhone 13 Pro 1000 GB - Silver - Unlocked,iPhone 13 Pro,Loop Mobile,4.5,136
31_Oct_22,970.00,884.99,920.00,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-sierra-blue-unlocked/fe1ab4be-2963-48b3-84bd-658c516261d0,iPhone 13 Pro Max 512 GB - Sierra Blue - Unlocked,iPhone 13 Pro Max,Mazuma,4.6,121
31_Oct_22,"1,106.76","1,110.00",Sold out,https://www.backmarket.co.uk/en-gb/p/iphone-13-pro-max-512-gb-silver-unlocked/b9c65b50-3eca-4e6c-8c2b-0e5635893680,iPhone 13 Pro Max 512 GB - Silver - Unlocked,iPhone 13 Pro Max,BEST4TECH,4.6,121
